url,channel_id,channel_name,view_count,title,assessment,Reasoning,publish_date,length,year
https://www.youtube.com/watch?v=HIBG_InCKKI,UCoJhK5kMc4LjBKdiYrDtzlA,Redacted,1019863,Building 7 REVEALED! The TRUTH about  9/11 and what really happened | Redacted with Clayton Morris,5,"The video strongly supports conspiracy theories related to 9/11 by featuring claims that lack credible evidence and contradict widely accepted facts. It promotes ideas of cover-ups and manipulation by powerful entities, such as the U.S. government and intelligence agencies, suggesting that the collapse of Building Seven was a controlled demolition. Language throughout implies secrecy and hints at hidden motives linked to the military-industrial complex. The recurring theme of distrust in official narratives and authoritative sources, combined with speculative reasoning lacking empirical support, solidifies the score.",2023-06-24,2329,2023
https://www.youtube.com/watch?v=yDyJe1nmSOM,UCIFk2uvCNcEmZ77g0ESKLcQ,The Why Files,6506715,The Moon Landing: Stanley Kubrick's Greatest Film | How NASA and Hollywood Fooled the World,5,"The transcript heavily promotes the conspiracy theory that the moon landing was faked, predominantly focusing on unsubstantiated claims and supposed ""evidence"" that lack credible scientific backing. The video employs language that suggests manipulation by powerful entities, in this case, NASA and the government, invoking paranoia about a massive cover-up. It systematically addresses specific elements such as alleged film inconsistencies and suggests motives for faking the landing, which fits typical patterns of fear-mongering and disbelief in authoritative sources. Overall, the content is highly suggestive of conspiracy theories and potential misinformation, warranting a high assessment score.",2023-07-20,3007,2023
https://www.youtube.com/watch?v=zNZHTlRFD6E,UC9MAhZQQd9egwWCxrwSIsJQ,HISTORY,35378241,Ancient Aliens: TOP 10 ALIEN ENCOUNTERS OF 2022,5,"The transcript is filled with numerous claims that lack credible evidence and promote unfounded theories about UFOs, extraterrestrial beings, and secret government cover-ups. It suggests that various governments have been hiding the truth about UFOs and proposes connections to ancient astronaut theories, which are not supported by mainstream science. The language reflects a strong distrust of authoritative sources and heavily relies on anecdotal accounts and speculative connections, typical of conspiracy theories and mis/disinformation.",2022-12-15,3447,2022
https://www.youtube.com/watch?v=kKP8OozDzzA,UCv-FGrBImMP3IK0c_WFknrg,Ram Thorburn,3515,"MAJOR BOMBSHELLS Dropping Involving Osama Bin Laden, Seal Team 6, and Benghazi | Revved Up",5,"The video transcript is filled with claims that lack credible evidence and promote unfounded conspiracy theories. It portrays claims of cover-ups involving high-profile figures like Biden, Obama, and Clinton in relation to the killing of Osama bin Laden and the death of SEAL Team Six, linking them to a larger narrative of deception and manipulation. The language suggests secrecy and government cover-ups, creates distrust of authoritative sources, and appeals heavily to emotion over logic. Additionally, it presents improbable theories that contradict widely accepted facts without sufficient supporting evidence. The narrative fits patterns commonly associated with conspiracy theories and disinformation, thereby making it ""Very Likely"" to support such themes.""",2020-10-14,3223,2020
https://www.youtube.com/watch?v=FinFZKy_tmA,UCz8K1occVvDTYDfFo7N5EZw,Law&Crime Network,152436,"Alex Jones and Fans Go On Conspiratorial Rant About Sandy Hook School Shooting, Gun Control",5,"The transcript is laden with conspiracy theories and unfounded speculation. It suggests that the Sandy Hook shooting could have been a government-staged event to enable gun control, a claim with no credible evidence and which exploits a terrible tragedy. The language throughout the transcript repeatedly hints at cover-ups and manipulation by powerful entities, such as the government organizing mass shootings for political purposes. Additionally, there is continuous fear-mongering about the government taking away gun rights and causing a civil war. All these elements align closely with conspiracy theory patterns and contribute to the dissemination of disinformation.",2022-07-28,3135,2022
https://www.youtube.com/watch?v=pL1tYz11hmk,UCkQO3QsgTpNTsOw6ujimT5Q,BE AMAZED,10271447,Best Evidence Proving Aliens Exist,5,"The video transcript promotes claims that lack credible evidence, such as alien spacecraft being reverse-engineered and alien biologics recovered by the US government. It contains language suggesting secretive cover-ups and manipulations by powerful entities, often implying the government hides information about extraterrestrial interactions. The themes of distrust in authorities, fear-mongering about national security, and speculative accounts of alien encounters recur throughout the transcript. These patterns align with conspiracy theories and mis/disinformation narratives, supporting a high likelihood of the video promoting such themes.",2023-09-01,3057,2023
https://www.youtube.com/watch?v=WirEgSaCzeQ,UCu4XcDBdnZkV6-5z2f16M0g,Real Stories,531860,The Truth About 9/11 | The British Conspiracy Road Trip (US History Documentary) | Real Stories,5,"The video transcript presents multiple claims that align with conspiracy theories about the 9/11 attacks, including assertions that the attacks were orchestrated by the U.S. government, the use of controlled demolition with thermite, and the missile theory regarding the Pentagon strike. It features language that suggests cover-ups and manipulation by powerful entities, as well as distrust towards official reports and expert explanations. Moreover, there is a strong focus on fueling doubt and skepticism about the established narrative, feeding into themes commonly associated with conspiracy theories.",2021-07-20,3436,2021
https://www.youtube.com/watch?v=XWqh9F4pjHg,UCIFk2uvCNcEmZ77g0ESKLcQ,The Why Files,5746105,Project 8200 Exposed | CIA Psychics Find Alien Bases Underground,5,"The video transcript is saturated with unfounded claims and conspiracy theories, particularly regarding secret alien bases inside mountains and psychic espionage. It suggests a cover-up by powerful entities like the CIA and hints at government manipulation, common tropes in conspiracy narratives. The language used often appeals to fear and suspicion, undermining authoritative sources and credible evidence. These patterns align strongly with conspiracy theory motifs, leading to a ""Very Likely"" assessment that the video supports such theories.",2024-01-04,3487,2024
https://www.youtube.com/watch?v=ifKHNWCFXQ4,UCwWhs_6x42TyRM4Wstoq8HA,The Daily Show,870826,Pizzagate: Are Democrats Harvesting Children’s Blood? - Jordan Klepper Fingers the Conspiracy,5,"The video transcript extensively discusses conspiracy theories, particularly focusing on ""pizzagate"" and adrenochrome, linking them to historical and contemporary events without credible evidence. The transcript features language suggesting secrecy, cover-ups by elites, and manipulation, and it emphasizes themes like satanic rituals and elitist cabals. Furthermore, it highlights the propagation of fear and distrust in authoritative sources. Despite an expert attempt to contextualize and debunk these theories, the discussion seems to legitimize the widespread disinformation associated with it, warranting a high likelihood that it supports conspiracy theories or disinformation.",2023-07-10,3388,2023
https://www.youtube.com/watch?v=JHdZ30pHiRY,UCaKZDEMDdQc8t6GzFj1_TDw,Be Inspired,4036018,"Ex-Occultist: ""They Call it ""THE MASTER KEY Of The Universe”",5,"The video transcript is filled with conspiracy theory rhetoric and disinformation patterns. It heavily uses language suggesting hidden, esoteric knowledge deliberately kept from humanity by powerful groups to maintain control, indicating a theme of secrecy and manipulation. The speaker criticizes authoritative sources like media and education for manipulating perceptions. The narrative emphasizes fear-mongering about ""occult traditions"" and distrust of accepted knowledge, promoting an unfounded theory about ""natural law"" and ""real laws of attraction"" diverging from widely accepted facts. This aligns strongly with conspiracy theory patterns.",2023-02-22,3388,2023
https://www.youtube.com/watch?v=TfsdEu4PLj0,UCAST97zhUN8hdNf8RZ4D12A,Believing the Bizarre,141,What are Chemtrails? - Chemtrails vs. Contrails | Episode 64 | Believing the Bizarre,5,"The video transcript strongly supports conspiracy theories related to chemtrails. It discusses unfounded claims about government secret operations, manipulation of weather, health risks, and mentions of secret societies like the Illuminati without credible evidence. There are significant themes of distrust towards authoritative sources and speculative reasoning over scientific understanding. The language used suggests cover-ups and manipulation by powerful entities, aligning with typical conspiracy theory rhetoric.",2021-07-11,3093,2021
